10:17:05.152107 IP 112.26.0.8.36004 > 112.26.0.1.43445: Flags [S], seq 604036043, win 65535, options [mss 1460,sackOK,TS val 4294851649 ecr 0,nop,wscale 6,mptcp capable csum {0x5fe731cb2a0ffaa8}], length 0
10:17:05.176521 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [S.], seq 3411350881, ack 604036044, win 65535, options [mss 1460,sackOK,TS val 99544 ecr 4294851649,nop,wscale 6,mptcp capable csum {0x95b44a60aabf03a2}], length 0
10:17:05.353998 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [S.], seq 3411350881, ack 604036044, win 65535, options [mss 1460,sackOK,TS val 99544 ecr 4294851649,nop,wscale 6,mptcp capable csum {0x95b44a60aabf03a2}], length 0
10:17:05.472541 IP 112.26.0.8.36004 > 112.26.0.1.43445: Flags [.], ack 1, win 1369, options [nop,nop,TS val 4294854113 ecr 99544,mptcp capable csum {0x5fe731cb2a0ffaa8,0x95b44a60aabf03a2},mptcp dss ack 3866414399], length 0
10:17:05.475920 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], ack 1, win 1339, options [nop,nop,TS val 99849 ecr 4294854113,mptcp add-addr id 3 112.26.1.1,mptcp dss ack 1720219151], length 0
10:18:31.318719 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 740945:742373, ack 1, win 4017, options [nop,nop,TS val 185469 ecr 4294939001,mptcp dss ack 1720219151 seq 3868921779 subseq 740945 len 1428 csum 0x99b4], length 1428
10:18:31.342718 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 739517:740945, ack 1, win 4017, options [nop,nop,TS val 185292 ecr 4294938884,mptcp dss ack 1720219151 seq 3868916067 subseq 739517 len 1428 csum 0x88d8], length 1428
10:18:31.380586 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 742373:743801, ack 1, win 4017, options [nop,nop,TS val 185681 ecr 4294939239,mptcp dss ack 1720219151 seq 3868927491 subseq 742373 len 1428 csum 0x6765], length 1428
10:18:31.459703 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 740945:742373, ack 1, win 4017, options [nop,nop,TS val 185469 ecr 4294939001,mptcp dss ack 1720219151 seq 3868921779 subseq 740945 len 1428 csum 0x99b4], length 1428
10:18:31.576529 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 742373:743801, ack 1, win 4017, options [nop,nop,TS val 185681 ecr 4294939239,mptcp dss ack 1720219151 seq 3868927491 subseq 742373 len 1428 csum 0x6765], length 1428
10:18:31.593278 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 743801:745229, ack 1, win 4017, options [nop,nop,TS val 185964 ecr 4294939665,mptcp dss ack 1720219151 seq 3868940343 subseq 743801 len 1428 csum 0x4a72], length 1428
10:18:31.699189 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 743801:745229, ack 1, win 4017, options [nop,nop,TS val 185964 ecr 4294939665,mptcp dss ack 1720219151 seq 3868940343 subseq 743801 len 1428 csum 0x4a72], length 1428
10:18:31.713762 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 745229:746657, ack 1, win 4017, options [nop,nop,TS val 186020 ecr 4294939810,mptcp dss ack 1720219151 seq 3868944627 subseq 745229 len 1428 csum 0xf6f], length 1428
10:18:31.803348 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 745229:746657, ack 1, win 4017, options [nop,nop,TS val 186020 ecr 4294939810,mptcp dss ack 1720219151 seq 3868944627 subseq 745229 len 1428 csum 0xf6f], length 1428
10:18:31.831215 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 746657:748085, ack 1, win 4017, options [nop,nop,TS val 186203 ecr 4294939983,mptcp dss ack 1720219151 seq 3868954623 subseq 746657 len 1428 csum 0xba46], length 1428
10:18:31.920046 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 746657:748085, ack 1, win 4017, options [nop,nop,TS val 186203 ecr 4294939983,mptcp dss ack 1720219151 seq 3868954623 subseq 746657 len 1428 csum 0xba46], length 1428
10:18:32.052532 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 748085:749513, ack 1, win 4017, options [nop,nop,TS val 186426 ecr 4294940064,mptcp dss ack 1720219151 seq 3868961763 subseq 748085 len 1428 csum 0xe162], length 1428
10:18:32.074392 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 748085:749513, ack 1, win 4017, options [nop,nop,TS val 186426 ecr 4294940064,mptcp dss ack 1720219151 seq 3868961763 subseq 748085 len 1428 csum 0xe162], length 1428
10:18:32.161253 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 749513:750941, ack 1, win 4017, options [nop,nop,TS val 186426 ecr 4294940064,mptcp dss ack 1720219151 seq 3868963191 subseq 749513 len 1428 csum 0x43ef], length 1428
10:18:32.165758 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 749513:750941, ack 1, win 4017, options [nop,nop,TS val 186426 ecr 4294940064,mptcp dss ack 1720219151 seq 3868963191 subseq 749513 len 1428 csum 0x43ef], length 1428
10:18:32.234290 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 750941:752369, ack 1, win 4017, options [nop,nop,TS val 186607 ecr 4294940162,mptcp dss ack 1720219151 seq 3868970331 subseq 750941 len 1428 csum 0x8861], length 1428
10:18:32.267702 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 750941:752369, ack 1, win 4017, options [nop,nop,TS val 186607 ecr 4294940162,mptcp dss ack 1720219151 seq 3868970331 subseq 750941 len 1428 csum 0x8861], length 1428
10:18:32.328616 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 752369:753797, ack 1, win 4017, options [nop,nop,TS val 186607 ecr 4294940162,mptcp dss ack 1720219151 seq 3868971759 subseq 752369 len 1428 csum 0x3157], length 1428
10:18:32.380065 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 752369:753797, ack 1, win 4017, options [nop,nop,TS val 186607 ecr 4294940162,mptcp dss ack 1720219151 seq 3868971759 subseq 752369 len 1428 csum 0x3157], length 1428
10:18:32.423016 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 753797:755225, ack 1, win 4017, options [nop,nop,TS val 186740 ecr 4294940341,mptcp dss ack 1720219151 seq 3868974615 subseq 753797 len 1428 csum 0x9954], length 1428
10:18:32.478931 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 753797:755225, ack 1, win 4017, options [nop,nop,TS val 186740 ecr 4294940341,mptcp dss ack 1720219151 seq 3868974615 subseq 753797 len 1428 csum 0x9954], length 1428
10:18:32.510352 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 755225:756653, ack 1, win 4017, options [nop,nop,TS val 186883 ecr 4294940397,mptcp dss ack 1720219151 seq 3868978899 subseq 755225 len 1428 csum 0xb978], length 1428
10:18:32.599323 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 756653:758081, ack 1, win 4017, options [nop,nop,TS val 186972 ecr 4294940563,mptcp dss ack 1720219151 seq 3868981755 subseq 756653 len 1428 csum 0x306d], length 1428
10:18:32.624831 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 755225:756653, ack 1, win 4017, options [nop,nop,TS val 186883 ecr 4294940397,mptcp dss ack 1720219151 seq 3868978899 subseq 755225 len 1428 csum 0xb978], length 1428
10:18:32.682969 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 758081:759509, ack 1, win 4017, options [nop,nop,TS val 186972 ecr 4294940563,mptcp dss ack 1720219151 seq 3868983183 subseq 758081 len 1428 csum 0xc905], length 1428
10:18:32.746138 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 756653:758081, ack 1, win 4017, options [nop,nop,TS val 186972 ecr 4294940563,mptcp dss ack 1720219151 seq 3868981755 subseq 756653 len 1428 csum 0x306d], length 1428
10:18:32.803688 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 758081:759509, ack 1, win 4017, options [nop,nop,TS val 186972 ecr 4294940563,mptcp dss ack 1720219151 seq 3868983183 subseq 758081 len 1428 csum 0xc905], length 1428
10:18:33.124490 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 759509:760937, ack 1, win 4017, options [nop,nop,TS val 187497 ecr 4294941042,mptcp dss ack 1720219151 seq 3869013171 subseq 759509 len 1428 csum 0xe65e], length 1428
10:18:33.136911 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 759509:760937, ack 1, win 4017, options [nop,nop,TS val 187497 ecr 4294941042,mptcp dss ack 1720219151 seq 3869013171 subseq 759509 len 1428 csum 0xe65e], length 1428
10:18:33.236559 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 760937:762365, ack 1, win 4017, options [nop,nop,TS val 187497 ecr 4294941042,mptcp dss ack 1720219151 seq 3869014599 subseq 760937 len 1428 csum 0x99f3], length 1428
10:18:33.243207 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 760937:762365, ack 1, win 4017, options [nop,nop,TS val 187497 ecr 4294941042,mptcp dss ack 1720219151 seq 3869014599 subseq 760937 len 1428 csum 0x99f3], length 1428
10:18:33.326297 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 762365:763793, ack 1, win 4017, options [nop,nop,TS val 187611 ecr 4294941198,mptcp dss ack 1720219151 seq 3869021739 subseq 762365 len 1428 csum 0x461b], length 1428
10:18:33.354898 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 762365:763793, ack 1, win 4017, options [nop,nop,TS val 187611 ecr 4294941198,mptcp dss ack 1720219151 seq 3869021739 subseq 762365 len 1428 csum 0x461b], length 1428
10:18:33.529959 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 763793:765221, ack 1, win 4017, options [nop,nop,TS val 187903 ecr 4294941322,mptcp dss ack 1720219151 seq 3869031735 subseq 763793 len 1428 csum 0xa524], length 1428
10:18:33.539104 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 763793:765221, ack 1, win 4017, options [nop,nop,TS val 187903 ecr 4294941322,mptcp dss ack 1720219151 seq 3869031735 subseq 763793 len 1428 csum 0xa524], length 1428
10:18:33.630802 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 765221:766649, ack 1, win 4017, options [nop,nop,TS val 187995 ecr 4294941581,mptcp dss ack 1720219151 seq 3869037447 subseq 765221 len 1428 csum 0x3544], length 1428
10:18:33.642480 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 765221:766649, ack 1, win 4017, options [nop,nop,TS val 187995 ecr 4294941581,mptcp dss ack 1720219151 seq 3869037447 subseq 765221 len 1428 csum 0x3544], length 1428
10:18:33.685178 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 766649:768077, ack 1, win 4017, options [nop,nop,TS val 187995 ecr 4294941581,mptcp dss ack 1720219151 seq 3869038875 subseq 766649 len 1428 csum 0x3e25], length 1428
10:18:33.742890 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 766649:768077, ack 1, win 4017, options [nop,nop,TS val 187995 ecr 4294941581,mptcp dss ack 1720219151 seq 3869038875 subseq 766649 len 1428 csum 0x3e25], length 1428
10:18:33.812124 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 768077:769505, ack 1, win 4017, options [nop,nop,TS val 188185 ecr 4294941648,mptcp dss ack 1720219151 seq 3869048871 subseq 768077 len 1428 csum 0x3c1a], length 1428
10:18:33.851632 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 768077:769505, ack 1, win 4017, options [nop,nop,TS val 188185 ecr 4294941648,mptcp dss ack 1720219151 seq 3869048871 subseq 768077 len 1428 csum 0x3c1a], length 1428
10:18:33.943818 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 769505:770933, ack 1, win 4017, options [nop,nop,TS val 188318 ecr 4294941725,mptcp dss ack 1720219151 seq 3869056011 subseq 769505 len 1428 csum 0xc242], length 1428
10:18:33.946710 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 769505:770933, ack 1, win 4017, options [nop,nop,TS val 188318 ecr 4294941725,mptcp dss ack 1720219151 seq 3869056011 subseq 769505 len 1428 csum 0xc242], length 1428
10:18:34.078392 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 770933:772361, ack 1, win 4017, options [nop,nop,TS val 188449 ecr 4294941955,mptcp dss ack 1720219151 seq 3869060295 subseq 770933 len 1428 csum 0x6a28], length 1428
10:18:34.100624 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 770933:772361, ack 1, win 4017, options [nop,nop,TS val 188449 ecr 4294941955,mptcp dss ack 1720219151 seq 3869060295 subseq 770933 len 1428 csum 0x6a28], length 1428
10:18:34.162431 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 742373:743801, ack 1, win 4017, options [nop,nop,TS val 188526 ecr 4294942151,mptcp dss ack 1720219151 seq 3868927491 subseq 742373 len 1428 csum 0x6765], length 1428
10:18:34.204583 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 742373:743801, ack 1, win 4017, options [nop,nop,TS val 188526 ecr 4294942151,mptcp dss ack 1720219151 seq 3868927491 subseq 742373 len 1428 csum 0x6765], length 1428
10:18:34.545457 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 753797:755225, ack 1, win 4017, options [nop,nop,TS val 188918 ecr 4294942651,mptcp dss ack 1720219151 seq 3868974615 subseq 753797 len 1428 csum 0x9954], length 1428
10:18:34.558655 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 753797:755225, ack 1, win 4017, options [nop,nop,TS val 188918 ecr 4294942651,mptcp dss ack 1720219151 seq 3868974615 subseq 753797 len 1428 csum 0x9954], length 1428
10:18:34.651211 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 756653:758081, ack 1, win 4017, options [nop,nop,TS val 188993 ecr 4294942731,mptcp dss ack 1720219151 seq 3868981755 subseq 756653 len 1428 csum 0x306d], length 1428
10:18:34.654328 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 756653:758081, ack 1, win 4017, options [nop,nop,TS val 188993 ecr 4294942731,mptcp dss ack 1720219151 seq 3868981755 subseq 756653 len 1428 csum 0x306d], length 1428
10:18:34.892538 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 772361:773789, ack 1, win 4017, options [nop,nop,TS val 189266 ecr 4294942849,mptcp dss ack 1720219151 seq 3869111703 subseq 772361 len 1428 csum 0xe82], length 1428
10:18:34.903858 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 772361:773789, ack 1, win 4017, options [nop,nop,TS val 189266 ecr 4294942849,mptcp dss ack 1720219151 seq 3869111703 subseq 772361 len 1428 csum 0xe82], length 1428
10:18:34.952925 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 773789:775217, ack 1, win 4017, options [nop,nop,TS val 189325 ecr 4294942922,mptcp dss ack 1720219151 seq 3869113131 subseq 773789 len 1428 csum 0x1aeb], length 1428
10:18:35.017260 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 773789:775217, ack 1, win 4017, options [nop,nop,TS val 189325 ecr 4294942922,mptcp dss ack 1720219151 seq 3869113131 subseq 773789 len 1428 csum 0x1aeb], length 1428
10:18:35.058725 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 775217:776645, ack 1, win 4017, options [nop,nop,TS val 189415 ecr 4294942962,mptcp dss ack 1720219151 seq 3869118843 subseq 775217 len 1428 csum 0x6f0e], length 1428
10:18:35.090502 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 775217:776645, ack 1, win 4017, options [nop,nop,TS val 189415 ecr 4294942962,mptcp dss ack 1720219151 seq 3869118843 subseq 775217 len 1428 csum 0x6f0e], length 1428
10:18:35.244802 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 776645:778073, ack 1, win 4017, options [nop,nop,TS val 189455 ecr 4294943027,mptcp dss ack 1720219151 seq 3869120271 subseq 776645 len 1428 csum 0xb0c3], length 1428
10:18:35.255660 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 776645:778073, ack 1, win 4017, options [nop,nop,TS val 189455 ecr 4294943027,mptcp dss ack 1720219151 seq 3869120271 subseq 776645 len 1428 csum 0xb0c3], length 1428
10:18:35.333982 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 778073:779501, ack 1, win 4017, options [nop,nop,TS val 189638 ecr 4294943126,mptcp dss ack 1720219151 seq 3869133123 subseq 778073 len 1428 csum 0xc27a], length 1428
10:18:35.387470 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 778073:779501, ack 1, win 4017, options [nop,nop,TS val 189638 ecr 4294943126,mptcp dss ack 1720219151 seq 3869133123 subseq 778073 len 1428 csum 0xc27a], length 1428
10:18:35.418970 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [P.], seq 779501:780929, ack 1, win 4017, options [nop,nop,TS val 189779 ecr 4294943347,mptcp dss ack 1720219151 seq 3869135979 subseq 779501 len 1428 csum 0x49a0], length 1428
10:18:35.449591 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [P.], seq 779501:780929, ack 1, win 4017, options [nop,nop,TS val 189779 ecr 4294943347,mptcp dss ack 1720219151 seq 3869135979 subseq 779501 len 1428 csum 0x49a0], length 1428
10:18:35.503678 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 780929:782357, ack 1, win 4017, options [nop,nop,TS val 189860 ecr 4294943406,mptcp dss ack 1720219151 seq 3869140263 subseq 780929 len 1428 csum 0xe41b], length 1428
10:18:35.549202 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 780929:782357, ack 1, win 4017, options [nop,nop,TS val 189860 ecr 4294943406,mptcp dss ack 1720219151 seq 3869140263 subseq 780929 len 1428 csum 0xe41b], length 1428
10:18:35.773778 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 782357:783785, ack 1, win 4017, options [nop,nop,TS val 190146 ecr 4294943890,mptcp dss ack 1720219151 seq 3869163111 subseq 782357 len 1428 csum 0x9f7e], length 1428
10:18:35.777619 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 782357:783785, ack 1, win 4017, options [nop,nop,TS val 190146 ecr 4294943890,mptcp dss ack 1720219151 seq 3869163111 subseq 782357 len 1428 csum 0x9f7e], length 1428
10:18:35.900079 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 783785:785213, ack 1, win 4017, options [nop,nop,TS val 190273 ecr 4294943957,mptcp dss ack 1720219151 seq 3869174535 subseq 783785 len 1428 csum 0xb664], length 1428
10:18:35.913404 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 783785:785213, ack 1, win 4017, options [nop,nop,TS val 190273 ecr 4294943957,mptcp dss ack 1720219151 seq 3869174535 subseq 783785 len 1428 csum 0xb664], length 1428
10:18:36.120844 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 785213:786641, ack 1, win 4017, options [nop,nop,TS val 190495 ecr 4294944183,mptcp dss ack 1720219151 seq 3869177391 subseq 785213 len 1428 csum 0x1e82], length 1428
10:18:36.132287 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 785213:786641, ack 1, win 4017, options [nop,nop,TS val 190495 ecr 4294944183,mptcp dss ack 1720219151 seq 3869177391 subseq 785213 len 1428 csum 0x1e82], length 1428
10:18:36.263703 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 786641:788069, ack 1, win 4017, options [nop,nop,TS val 190636 ecr 4294944287,mptcp dss ack 1720219151 seq 3869180247 subseq 786641 len 1428 csum 0x7c51], length 1428
10:18:36.276642 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 786641:788069, ack 1, win 4017, options [nop,nop,TS val 190636 ecr 4294944287,mptcp dss ack 1720219151 seq 3869180247 subseq 786641 len 1428 csum 0x7c51], length 1428
10:18:36.398769 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 788069:789497, ack 1, win 4017, options [nop,nop,TS val 190714 ecr 4294944352,mptcp dss ack 1720219151 seq 3869183103 subseq 788069 len 1428 csum 0xfd41], length 1428
10:18:36.416412 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 788069:789497, ack 1, win 4017, options [nop,nop,TS val 190714 ecr 4294944352,mptcp dss ack 1720219151 seq 3869183103 subseq 788069 len 1428 csum 0xfd41], length 1428
10:18:36.489483 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 789497:790925, ack 1, win 4017, options [nop,nop,TS val 190714 ecr 4294944352,mptcp dss ack 1720219151 seq 3869184531 subseq 789497 len 1428 csum 0xfdc6], length 1428
10:18:36.512766 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 789497:790925, ack 1, win 4017, options [nop,nop,TS val 190714 ecr 4294944352,mptcp dss ack 1720219151 seq 3869184531 subseq 789497 len 1428 csum 0xfdc6], length 1428
10:18:36.618646 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 790925:792353, ack 1, win 4017, options [nop,nop,TS val 190881 ecr 4294944486,mptcp dss ack 1720219151 seq 3869187387 subseq 790925 len 1428 csum 0x7ade], length 1428
10:18:36.620332 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 790925:792353, ack 1, win 4017, options [nop,nop,TS val 190881 ecr 4294944486,mptcp dss ack 1720219151 seq 3869187387 subseq 790925 len 1428 csum 0x7ade], length 1428
10:18:36.711704 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 792353:793781, ack 1, win 4017, options [nop,nop,TS val 191055 ecr 4294944625,mptcp dss ack 1720219151 seq 3869193099 subseq 792353 len 1428 csum 0x4dfe], length 1428
10:18:36.722777 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 792353:793781, ack 1, win 4017, options [nop,nop,TS val 191055 ecr 4294944625,mptcp dss ack 1720219151 seq 3869193099 subseq 792353 len 1428 csum 0x4dfe], length 1428
10:18:36.791525 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 793781:795209, ack 1, win 4017, options [nop,nop,TS val 191150 ecr 4294944688,mptcp dss ack 1720219151 seq 3869203095 subseq 793781 len 1428 csum 0x2e71], length 1428
10:18:36.847738 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 793781:795209, ack 1, win 4017, options [nop,nop,TS val 191150 ecr 4294944688,mptcp dss ack 1720219151 seq 3869203095 subseq 793781 len 1428 csum 0x2e71], length 1428
10:18:36.955734 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 795209:796637, ack 1, win 4017, options [nop,nop,TS val 191328 ecr 4294944837,mptcp dss ack 1720219151 seq 3869210235 subseq 795209 len 1428 csum 0x816f], length 1428
10:18:36.979728 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 795209:796637, ack 1, win 4017, options [nop,nop,TS val 191328 ecr 4294944837,mptcp dss ack 1720219151 seq 3869210235 subseq 795209 len 1428 csum 0x816f], length 1428
10:18:37.100723 IP 112.26.0.1.43445 > 112.26.0.8.36004: Flags [.], seq 796637:798065, ack 1, win 4017, options [nop,nop,TS val 191471 ecr 4294945029,mptcp dss ack 1720219151 seq 3869221659 subseq 796637 len 1428 csum 0xa45b], length 1428
